,日期,時間,outlier
341,2019/5/27,10:30:00,False
342,2019/5/27,10:45:00,False
343,2019/5/27,11:00:00,False
344,2019/5/27,11:15:00,False
345,2019/5/27,11:30:00,False
346,2019/5/27,11:45:00,False
347,2019/5/27,12:00:00,False
348,2019/5/27,12:15:00,False
349,2019/5/27,12:30:00,False
350,2019/5/27,12:45:00,False
351,2019/5/27,13:00:00,False
352,2019/5/28,09:15:00,False
353,2019/5/28,09:30:00,False
354,2019/5/28,09:45:00,False
355,2019/5/28,10:00:00,False
356,2019/5/28,10:15:00,False
357,2019/5/28,10:30:00,False
358,2019/5/28,10:45:00,False
359,2019/5/28,11:00:00,False
360,2019/5/28,11:15:00,False
361,2019/5/28,11:30:00,False
362,2019/5/28,11:45:00,False
363,2019/5/28,12:00:00,False
364,2019/5/28,12:15:00,False
365,2019/5/28,12:30:00,False
366,2019/5/28,12:45:00,False
367,2019/5/28,13:00:00,False
368,2019/5/29,09:15:00,False
369,2019/5/29,09:30:00,False
370,2019/5/29,09:45:00,False
371,2019/5/29,10:00:00,False
372,2019/5/29,10:15:00,False
373,2019/5/29,10:30:00,False
374,2019/5/29,10:45:00,False
375,2019/5/29,11:00:00,False
376,2019/5/29,11:15:00,False
377,2019/5/29,11:30:00,False
378,2019/5/29,11:45:00,False
379,2019/5/29,12:00:00,False
380,2019/5/29,12:15:00,False
381,2019/5/29,12:30:00,False
382,2019/5/29,12:45:00,False
383,2019/5/29,13:00:00,False
384,2019/5/30,09:15:00,False
385,2019/5/30,09:30:00,False
386,2019/5/30,09:45:00,False
387,2019/5/30,10:00:00,False
388,2019/5/30,10:15:00,False
389,2019/5/30,10:30:00,False
390,2019/5/30,10:45:00,False
391,2019/5/30,11:00:00,False
392,2019/5/30,11:15:00,False
393,2019/5/30,11:30:00,False
394,2019/5/30,11:45:00,False
395,2019/5/30,12:00:00,False
396,2019/5/30,12:15:00,False
397,2019/5/30,12:30:00,False
398,2019/5/30,12:45:00,False
399,2019/5/30,13:00:00,False
400,2019/5/31,09:15:00,False
401,2019/5/31,09:30:00,False
402,2019/5/31,09:45:00,False
403,2019/5/31,10:00:00,False
404,2019/5/31,10:15:00,False
405,2019/5/31,10:30:00,False
406,2019/5/31,10:45:00,False
407,2019/5/31,11:00:00,False
408,2019/5/31,11:15:00,False
409,2019/5/31,11:30:00,False
410,2019/5/31,11:45:00,False
411,2019/5/31,12:00:00,False
412,2019/5/31,12:15:00,False
413,2019/5/31,12:30:00,False
414,2019/5/31,12:45:00,False
415,2019/5/31,13:00:00,False
416,2019/6/3,09:15:00,False
417,2019/6/3,09:30:00,False
418,2019/6/3,09:45:00,False
419,2019/6/3,10:00:00,False
420,2019/6/3,10:15:00,False
421,2019/6/3,10:30:00,False
422,2019/6/3,10:45:00,False
423,2019/6/3,11:00:00,False
424,2019/6/3,11:15:00,False
425,2019/6/3,11:30:00,False
426,2019/6/3,11:45:00,False
427,2019/6/3,12:00:00,False
428,2019/6/3,12:15:00,False
429,2019/6/3,12:30:00,False
430,2019/6/3,12:45:00,False
431,2019/6/3,13:00:00,False
432,2019/6/4,09:15:00,False
433,2019/6/4,09:30:00,False
434,2019/6/4,09:45:00,False
435,2019/6/4,10:00:00,False
436,2019/6/4,10:15:00,False
437,2019/6/4,10:30:00,False
438,2019/6/4,10:45:00,False
439,2019/6/4,11:00:00,False
440,2019/6/4,11:15:00,False
441,2019/6/4,11:30:00,False
442,2019/6/4,11:45:00,False
443,2019/6/4,12:00:00,False
444,2019/6/4,12:15:00,False
445,2019/6/4,12:30:00,False
446,2019/6/4,12:45:00,False
447,2019/6/4,13:00:00,False
448,2019/6/5,09:15:00,False
449,2019/6/5,09:30:00,False
450,2019/6/5,09:45:00,False
451,2019/6/5,10:00:00,False
452,2019/6/5,10:15:00,False
453,2019/6/5,10:30:00,False
454,2019/6/5,10:45:00,False
455,2019/6/5,11:00:00,False
456,2019/6/5,11:15:00,False
457,2019/6/5,11:30:00,False
458,2019/6/5,11:45:00,False
459,2019/6/5,12:00:00,False
460,2019/6/5,12:15:00,False
461,2019/6/5,12:30:00,False
462,2019/6/5,12:45:00,False
463,2019/6/5,13:00:00,False
464,2019/6/6,09:15:00,False
465,2019/6/6,09:30:00,False
466,2019/6/6,09:45:00,False
467,2019/6/6,10:00:00,False
468,2019/6/6,10:15:00,False
469,2019/6/6,10:30:00,False
470,2019/6/6,10:45:00,False
471,2019/6/6,11:00:00,False
472,2019/6/6,11:15:00,False
473,2019/6/6,11:30:00,False
474,2019/6/6,11:45:00,False
475,2019/6/6,12:00:00,False
476,2019/6/6,12:15:00,False
477,2019/6/6,12:30:00,False
478,2019/6/6,12:45:00,False
479,2019/6/6,13:00:00,False
480,2019/6/10,09:15:00,False
481,2019/6/10,09:30:00,False
482,2019/6/10,09:45:00,False
483,2019/6/10,10:00:00,False
484,2019/6/10,10:15:00,False
485,2019/6/10,10:30:00,False
486,2019/6/10,10:45:00,False
487,2019/6/10,11:00:00,False
488,2019/6/10,11:15:00,False
489,2019/6/10,11:30:00,False
490,2019/6/10,11:45:00,False
491,2019/6/10,12:00:00,False
492,2019/6/10,12:15:00,False
493,2019/6/10,12:30:00,False
494,2019/6/10,12:45:00,False
495,2019/6/10,13:00:00,False
496,2019/6/11,09:15:00,False
497,2019/6/11,09:30:00,False
498,2019/6/11,09:45:00,False
499,2019/6/11,10:00:00,False
500,2019/6/11,10:15:00,False
501,2019/6/11,10:30:00,False
502,2019/6/11,10:45:00,False
503,2019/6/11,11:00:00,False
504,2019/6/11,11:15:00,False
505,2019/6/11,11:30:00,False
506,2019/6/11,11:45:00,False
507,2019/6/11,12:00:00,False
508,2019/6/11,12:15:00,False
509,2019/6/11,12:30:00,False
510,2019/6/11,12:45:00,False
511,2019/6/11,13:00:00,False
512,2019/6/12,09:15:00,False
513,2019/6/12,09:30:00,False
514,2019/6/12,09:45:00,False
515,2019/6/12,10:00:00,False
516,2019/6/12,10:15:00,False
517,2019/6/12,10:30:00,False
518,2019/6/12,10:45:00,False
519,2019/6/12,11:00:00,False
520,2019/6/12,11:15:00,False
521,2019/6/12,11:30:00,False
522,2019/6/12,11:45:00,False
523,2019/6/12,12:00:00,False
524,2019/6/12,12:15:00,False
525,2019/6/12,12:30:00,False
526,2019/6/12,12:45:00,False
527,2019/6/12,13:00:00,False
528,2019/6/13,09:15:00,True
529,2019/6/13,09:30:00,False
530,2019/6/13,09:45:00,False
531,2019/6/13,10:00:00,False
532,2019/6/13,10:15:00,False
533,2019/6/13,10:30:00,False
534,2019/6/13,10:45:00,False
535,2019/6/13,11:00:00,False
536,2019/6/13,11:15:00,False
537,2019/6/13,11:30:00,False
538,2019/6/13,11:45:00,False
539,2019/6/13,12:00:00,False
540,2019/6/13,12:15:00,False
541,2019/6/13,12:30:00,False
542,2019/6/13,12:45:00,False
543,2019/6/13,13:00:00,False
544,2019/6/14,09:15:00,False
545,2019/6/14,09:30:00,False
546,2019/6/14,09:45:00,False
547,2019/6/14,10:00:00,False
548,2019/6/14,10:15:00,False
549,2019/6/14,10:30:00,False
550,2019/6/14,10:45:00,False
551,2019/6/14,11:00:00,False
552,2019/6/14,11:15:00,False
553,2019/6/14,11:30:00,False
554,2019/6/14,11:45:00,False
555,2019/6/14,12:00:00,False
556,2019/6/14,12:15:00,False
557,2019/6/14,12:30:00,False
558,2019/6/14,12:45:00,False
559,2019/6/14,13:00:00,False
560,2019/6/17,09:15:00,False
561,2019/6/17,09:30:00,False
562,2019/6/17,09:45:00,False
563,2019/6/17,10:00:00,False
564,2019/6/17,10:15:00,False
565,2019/6/17,10:30:00,False
566,2019/6/17,10:45:00,False
567,2019/6/17,11:00:00,False
568,2019/6/17,11:15:00,False
569,2019/6/17,11:30:00,False
570,2019/6/17,11:45:00,False
571,2019/6/17,12:00:00,False
572,2019/6/17,12:15:00,False
573,2019/6/17,12:30:00,False
574,2019/6/17,12:45:00,False
575,2019/6/17,13:00:00,False
576,2019/6/18,09:15:00,False
577,2019/6/18,09:30:00,False
578,2019/6/18,09:45:00,False
